REGISTRATIONNUMBER	FULLSCIENTIFICNAME	URL
RGM.1352143		
RGM.1352144		
RGM.1352145		
RGM.1352146		
RGM.1352147		
RGM.1352148		
RGM.1352149		
RGM.1352150		
RGM.1352163		
RGM.1352164		
RGM.1352165		
RGM.1352166		
RGM.1352167		
RGM.1352168		
RGM.184731		
RGM.225129		
RGM.225158		
RGM.225173		
RGM.225871		
RGM.225902		
RGM.226046	Cochlespira corneti (Von Koenen, 1872)	
RGM.226139		
RGM.393667		
RGM.393669		
BE.2281777		
BE.2312339		
RGM.12458	Thoracosaurus macrorhynchus	
RGM.1332242		
RGM.1332243		
RGM.1332244		http://medialib.naturalis.nl/file/id/RGM.1332244_1/format/large
RGM.1332245		
RGM.1332246		
RGM.1332247		
RGM.1332248	Dinosaur eggs (nest)	
RGM.1332249		
RGM.1332250		
RGM.1332500		
RGM.14062	Allopleuron hoffmanni (Gray, 1831)	
RGM.14062	Allopleuron hoffmanni (Gray, 1831)	http://medialib.naturalis.nl/file/id/RGM.14062_1_HL/format/large
RGM.14071	Mosasaurus giganteus (Sömmering, 1816)	
RGM.18183	Pterodactylus antiquus Sömmering, 1812	http://medialib.naturalis.nl/file/id/RGM.18183_5/format/large
RGM.18183	Pterodactylus antiquus Sömmering, 1812	http://medialib.naturalis.nl/file/id/RGM.18183_11_HL/format/large
RGM.18184	Pterodactylus antiquus (Sommering)	http://medialib.naturalis.nl/file/id/RGM.18184_2_HL/format/large
RGM.18184	Pterodactylus antiquus (Sommering)	
RGM.18184	Pterodactylus antiquus (Sommering)	http://medialib.naturalis.nl/file/id/RGM.18184_1/format/large
RGM.18324	Leptolepis knorri, (Agassiz)	
RGM.18344	Pelagosaurus typus	http://medialib.naturalis.nl/file/id/RGM.18344_13/format/large
RGM.18344	Pelagosaurus typus	http://medialib.naturalis.nl/file/id/RGM.18344_1/format/large
RGM.18344	Pelagosaurus typus	http://medialib.naturalis.nl/file/id/RGM.18344_10/format/large
RGM.18347	Plesiosaurus dolichodeirus Conybeare, 1821	
RGM.18349	Stenopterygius quadriscissus (von Quenstadt, 1858)	
RGM.291267	Faveoloolithus ningxiaensis	
RGM.344400	Gyroptichius agassizi	http://medialib.naturalis.nl/file/id/RGM.344400/format/large
RGM.345067	Sclerocephalus aff. hauseri	
RGM.345069	Archaeopteryx lithographica	http://medialib.naturalis.nl/file/id/RGM.345069_1_HL/format/large
RGM.345069	Archaeopteryx lithographica	http://medialib.naturalis.nl/file/id/RGM.345069_5/format/large
RGM.345069	Archaeopteryx lithographica	http://medialib.naturalis.nl/file/id/RGM.345069_8/format/large
RGM.345769	Coccosteus sp.	http://medialib.naturalis.nl/file/id/RGM.345769_2/format/large
RGM.345769	Coccosteus sp.	http://medialib.naturalis.nl/file/id/RGM.345769_3/format/large
RGM.345769	Coccosteus sp.	http://medialib.naturalis.nl/file/id/RGM.345769_1/format/large
RGM.354846	Clupeidae humilis	
RGM.401854	Deinotherium sp.	
RGM.401860	Platecarpus ictericus	
RGM.401863	Dicynodon grimbeeki	http://medialib.naturalis.nl/file/id/RGM.401863_4_HL/format/large
RGM.401863	Dicynodon grimbeeki	
RGM.401870	Edmontosaurus annectens Marsh, 1892	
RGM.401880	Coloborhynchus spielbergi Veldmeijer, 2006	http://medialib.naturalis.nl/file/id/RGM.401880/format/large
RGM.401880	Coloborhynchus spielbergi Veldmeijer, 2006	
RGM.401880	Coloborhynchus spielbergi Veldmeijer, 2006	
RGM.401890	Camarasaurus supremus	
RGM.1002735	Apatite	
RGM.1002753	Hematiet	http://medialib.naturalis.nl/file/id/RGM.1002753_3/format/large
RGM.1002753	Hematiet	http://medialib.naturalis.nl/file/id/RGM.1002753_2/format/large
RGM.1002753	Hematiet	http://medialib.naturalis.nl/file/id/RGM.1002753/format/large
RGM.1002755	Kwarts	http://medialib.naturalis.nl/file/id/RGM.1002755/format/large
RGM.1002756	Azuriet	http://medialib.naturalis.nl/file/id/RGM.1002756_4/format/large
RGM.1002756	Azuriet	http://medialib.naturalis.nl/file/id/RGM.1002756_2/format/large
RGM.1002756	Azuriet	http://medialib.naturalis.nl/file/id/RGM.1002756_3/format/large
RGM.1002756	Azuriet	http://medialib.naturalis.nl/file/id/RGM.1002756/format/large
RGM.1002871	Charoite	
RGM.1002975	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1002975/format/large
RGM.1002975	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1002975_2/format/large
RGM.1002984	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1002984/format/large
RGM.1002986	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1002986_2/format/large
RGM.1002986	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1002986/format/large
RGM.1003045	Goud	http://medialib.naturalis.nl/file/id/RGM.1003045_3/format/large
RGM.1003045	Goud	http://medialib.naturalis.nl/file/id/RGM.1003045_5/format/large
RGM.1003045	Goud	http://medialib.naturalis.nl/file/id/RGM.1003045_4/format/large
RGM.1003045	Goud	http://medialib.naturalis.nl/file/id/RGM.1003045/format/large
RGM.1003045	Goud	http://medialib.naturalis.nl/file/id/RGM.1003045_2/format/large
RGM.1003046	Goud	http://medialib.naturalis.nl/file/id/RGM.1003046/format/large
RGM.1003066	Goud	http://medialib.naturalis.nl/file/id/RGM.1003066_2/format/large
RGM.1003066	Goud	http://medialib.naturalis.nl/file/id/RGM.1003066/format/large
RGM.1003089	ZIRCON	
RGM.1003098	Grossular	http://medialib.naturalis.nl/file/id/RGM.1003098_2/format/large
RGM.1003098	Grossular	http://medialib.naturalis.nl/file/id/RGM.1003098_3/format/large
RGM.1003098	Grossular	http://medialib.naturalis.nl/file/id/RGM.1003098/format/large
RGM.1003099	Rhodonite	
RGM.1003100	OPAL	
RGM.1003132	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.1003132_HL_1/format/large
RGM.1003132	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.1003132_2/format/large
RGM.1003137	SULPHUR	http://medialib.naturalis.nl/file/id/RGM.1003137_3/format/large
RGM.1003137	SULPHUR	http://medialib.naturalis.nl/file/id/RGM.1003137_5/format/large
