REGISTRATIONNUMBER	FULLSCIENTIFICNAME	URL
RGM.1003137	SULPHUR	http://medialib.naturalis.nl/file/id/RGM.1003137/format/large
RGM.1003137	SULPHUR	http://medialib.naturalis.nl/file/id/RGM.1003137_1/format/large
RGM.1003137	SULPHUR	http://medialib.naturalis.nl/file/id/RGM.1003137_2/format/large
RGM.1003140	Pezzottaite	http://medialib.naturalis.nl/file/id/RGM.1003140_2/format/large
RGM.1003140	Pezzottaite	http://medialib.naturalis.nl/file/id/RGM.1003140/format/large
RGM.1003141	Pezzottaite	http://medialib.naturalis.nl/file/id/RGM.1003141_2/format/large
RGM.1003141	Pezzottaite	http://medialib.naturalis.nl/file/id/RGM.1003141/format/large
RGM.1003168	Jadeiet	
RGM.1003168	Jadeiet	
RGM.1003173	Chrysoberyl	
RGM.1003174	Amethyst	http://medialib.naturalis.nl/file/id/RGM.1003174/format/large
RGM.1032551	WILLEMITE, FRANKLINITE	http://medialib.naturalis.nl/file/id/RGM.1032551/format/large
RGM.1033541	RUTILE	http://medialib.naturalis.nl/file/id/RGM.1033541_2/format/large
RGM.1033541	RUTILE	http://medialib.naturalis.nl/file/id/RGM.1033541/format/large
RGM.1033541	RUTILE	http://medialib.naturalis.nl/file/id/RGM.1033541_3/format/large
RGM.1038161	SAPPHIRE	
RGM.1038187	ZOISITE	
RGM.1038600	RUBY	
RGM.1039263	Tantaliet	
RGM.1039401	Calciet	http://medialib.naturalis.nl/file/id/RGM.1039401/format/large
RGM.1039401	Calciet	http://medialib.naturalis.nl/file/id/RGM.1039401_2/format/large
RGM.1039754	Sodaliet	
RGM.1041342	Chrysoberyl	
RGM.1041853	Zwavel	http://medialib.naturalis.nl/file/id/RGM.1041853/format/large
RGM.1041853	Zwavel	http://medialib.naturalis.nl/file/id/RGM.1041853_3/format/large
RGM.1041853	Zwavel	http://medialib.naturalis.nl/file/id/RGM.1041853_2/format/large
RGM.1045857	Aragoniet	
RGM.1045869	Fluoriet	http://medialib.naturalis.nl/file/id/RGM.1045869/format/large
RGM.1057133	Kwarts	http://medialib.naturalis.nl/file/id/RGM.1057133/format/large
RGM.1057133	Kwarts	http://medialib.naturalis.nl/file/id/RGM.1057133_2/format/large
RGM.1057678	Koper	http://medialib.naturalis.nl/file/id/RGM.1057678_2/format/large
RGM.1057678	Koper	http://medialib.naturalis.nl/file/id/RGM.1057678/format/large
RGM.1058568	Riebeckiet	http://medialib.naturalis.nl/file/id/RGM.1058568/format/large
RGM.1058973	Chalkopyriet	
RGM.1060061	Sfaleriet, Galeniet, Chalcopyriet	http://medialib.naturalis.nl/file/id/RGM.1060061_4/format/large
RGM.1060061	Sfaleriet, Galeniet, Chalcopyriet	http://medialib.naturalis.nl/file/id/RGM.1060061/format/large
RGM.1060061	Sfaleriet, Galeniet, Chalcopyriet	http://medialib.naturalis.nl/file/id/RGM.1060061_2/format/large
RGM.1060531	Turkoois	
RGM.1061244	Hematiet	
RGM.1064937	Pyriet	
RGM.1064938	Pyriet	
RGM.1064939	Pyriet	
RGM.1064940	Pyriet	
RGM.1064941	Pyriet	
RGM.1064942	Pyriet	
RGM.1064943	Pyriet	
RGM.106628	RHODOCHROSITE	http://medialib.naturalis.nl/file/id/RGM.106628/format/large
RGM.106628	RHODOCHROSITE	http://medialib.naturalis.nl/file/id/RGM.106628_2/format/large
RGM.106928	LAPIS LAZULI	
RGM.1069508	Gips	http://medialib.naturalis.nl/file/id/RGM.1069508/format/large
RGM.106966	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.106966_2/format/large
RGM.106966	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.106966_3/format/large
RGM.106966	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.106966_4/format/large
RGM.106966	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.106966/format/large
RGM.106966	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.106966_5/format/large
RGM.1069684	Bauxiet	http://medialib.naturalis.nl/file/id/RGM.1069684_2/format/large
RGM.1069684	Bauxiet	http://medialib.naturalis.nl/file/id/RGM.1069684/format/large
RGM.1070623	Agaat	
RGM.1070625	Agaat	
RGM.107071	HALITE (ROCKSALT), SCHOHNITE	http://medialib.naturalis.nl/file/id/RGM.107071_3/format/large
RGM.107071	HALITE (ROCKSALT), SCHOHNITE	http://medialib.naturalis.nl/file/id/RGM.107071_4/format/large
RGM.107071	HALITE (ROCKSALT), SCHOHNITE	http://medialib.naturalis.nl/file/id/RGM.107071/format/large
RGM.107071	HALITE (ROCKSALT), SCHOHNITE	http://medialib.naturalis.nl/file/id/RGM.107071_2/format/large
RGM.107072	ALMANDINE	http://medialib.naturalis.nl/file/id/RGM.107072_2/format/large
RGM.107072	ALMANDINE	http://medialib.naturalis.nl/file/id/RGM.107072/format/large
RGM.1252154	Pyroxeen	http://medialib.naturalis.nl/file/id/RGM.1252154/format/large
RGM.1252154	Pyroxeen	http://medialib.naturalis.nl/file/id/RGM.1252154_2/format/large
RGM.1256877	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1256877/format/large
RGM.1256878	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1256878/format/large
RGM.1256880	Barnsteen	http://medialib.naturalis.nl/file/id/RGM.1256880/format/large
RGM.1257014	Tantalite-(Mn)	
RGM.1257015	Quartz with rutile needles and hematite	http://medialib.naturalis.nl/file/id/RGM.1257015_2/format/large
RGM.1257015	Quartz with rutile needles and hematite	http://medialib.naturalis.nl/file/id/RGM.1257015/format/large
RGM.1257015	Quartz with rutile needles and hematite	http://medialib.naturalis.nl/file/id/RGM.1257015_3/format/large
RGM.1320749	Spessartien-Pyroop	http://medialib.naturalis.nl/file/id/RGM.1320749/format/large
RGM.1320749	Spessartien-Pyroop	http://medialib.naturalis.nl/file/id/RGM.1320749_2/format/large
RGM.1320749	Spessartien-Pyroop	http://medialib.naturalis.nl/file/id/RGM.1320749_3/format/large
RGM.1320751	Spessartine	http://medialib.naturalis.nl/file/id/RGM.1320751/format/large
RGM.1320751	Spessartine	http://medialib.naturalis.nl/file/id/RGM.1320751_2/format/large
RGM.1320756	Andalusiet	http://medialib.naturalis.nl/file/id/RGM.1320756/format/large
RGM.1320756	Andalusiet	http://medialib.naturalis.nl/file/id/RGM.1320756_2/format/large
RGM.1320765	Beryl	http://medialib.naturalis.nl/file/id/RGM.1320765_2/format/large
RGM.1320765	Beryl	
RGM.1320765	Beryl	http://medialib.naturalis.nl/file/id/RGM.1320765/format/large
RGM.1320772	Beryl	http://medialib.naturalis.nl/file/id/RGM.1320772/format/large
RGM.1320772	Beryl	http://medialib.naturalis.nl/file/id/RGM.1320772_2/format/large
RGM.1320772	Beryl	
RGM.1320777	Beryl	http://medialib.naturalis.nl/file/id/RGM.1320777_2/format/large
RGM.1320777	Beryl	
RGM.1320777	Beryl	http://medialib.naturalis.nl/file/id/RGM.1320777/format/large
RGM.1339596	Quartz	http://medialib.naturalis.nl/file/id/RGM.1339596/format/large
RGM.1339597	Gypsum	http://medialib.naturalis.nl/file/id/RGM.1339597/format/large
RGM.1339597	Gypsum	http://medialib.naturalis.nl/file/id/RGM.1339597_2/format/large
RGM.1339667	Calcite, Fluorite  and Sfalerite	http://medialib.naturalis.nl/file/id/RGM.1339667/format/large
RGM.1339667	Calcite, Fluorite  and Sfalerite	http://medialib.naturalis.nl/file/id/RGM.1339667_2/format/large
RGM.1340811	Zoisite	http://medialib.naturalis.nl/file/id/RGM.1340811_3/format/large
RGM.1340811	Zoisite	http://medialib.naturalis.nl/file/id/RGM.1340811_2/format/large
RGM.1340811	Zoisite	http://medialib.naturalis.nl/file/id/RGM.1340811/format/large
RGM.1340811	Zoisite	http://medialib.naturalis.nl/file/id/RGM.1340811_4/format/large
RGM.135214		
RGM.1358267	Spodumene	
RGM.1360001	CALCITE	
RGM.1360002		
RGM.1360003		
RGM.1360004		
RGM.1360005		
RGM.1360006		
RGM.1360007		
RGM.1360008		
RGM.1360009		
RGM.1360010		
RGM.1360011		
RGM.1360012	Spessartine	http://medialib.naturalis.nl/file/id/RGM.1360012_3/format/large
RGM.1360012	Spessartine	http://medialib.naturalis.nl/file/id/RGM.1360012_2/format/large
RGM.1360012	Spessartine	http://medialib.naturalis.nl/file/id/RGM.1360012/format/large
RGM.1360013	Tourmaline	http://medialib.naturalis.nl/file/id/RGM.1360013_3/format/large
RGM.1360013	Tourmaline	http://medialib.naturalis.nl/file/id/RGM.1360013/format/large
RGM.1360013	Tourmaline	http://medialib.naturalis.nl/file/id/RGM.1360013_2/format/large
RGM.1360014	Kyanite	http://medialib.naturalis.nl/file/id/RGM.1360014/format/large
RGM.1360015	Scapolite	http://medialib.naturalis.nl/file/id/RGM.1360015/format/large
RGM.1360015	Scapolite	http://medialib.naturalis.nl/file/id/RGM.1360015_3/format/large
RGM.1360015	Scapolite	http://medialib.naturalis.nl/file/id/RGM.1360015_2/format/large
RGM.1360016	Celestine	http://medialib.naturalis.nl/file/id/RGM.1360016/format/large
RGM.1360017	Celestine	http://medialib.naturalis.nl/file/id/RGM.1360017/format/large
RGM.1360018	Lazurite	http://medialib.naturalis.nl/file/id/RGM.1360018/format/large
RGM.1360019	Turkoois	http://medialib.naturalis.nl/file/id/RGM.1360019_2/format/large
RGM.1360019	Turkoois	http://medialib.naturalis.nl/file/id/RGM.1360019/format/large
RGM.1360023	Pezzottaite	http://medialib.naturalis.nl/file/id/RGM.1360023/format/large
RGM.1360025	Fluorite	
RGM.150002	DIAMOND	
RGM.150005	DIAMOND	
RGM.150006	DIAMOND	
RGM.150013	DIAMOND	
RGM.150038	DIAMOND	
RGM.150058	RUBY	
RGM.150097	RUBY	
RGM.150116	RUBY	
RGM.150119	RUBY	
RGM.150121	RUBY	
RGM.150122	RUBY	
RGM.150147	SAPPHIRE	
RGM.150149	SAPPHIRE	
RGM.150187	SAPPHIRE	
RGM.150204	SAPPHIRE	
RGM.150214	SAPPHIRE	
RGM.150221	SAPPHIRE	
RGM.150238	AQUAMARINE	
RGM.150239	HELIODOR	
RGM.150240	AQUAMARINE	
RGM.150244	BERYL	
RGM.150246	HELIODOR	
RGM.150279	AQUAMARINE	
RGM.150284	Beryl	
RGM.150285	AQUAMARINE	
RGM.150302	Beryl 9.CJ.05	
RGM.150402	SPINEL	
RGM.150403	SPINEL	
RGM.150528	CORDIERITE	
RGM.150531	DIAMOND	
RGM.150533	SAPPHIRE	
RGM.150535	AQUAMARINE	
RGM.150539	SPINEL	
RGM.150583	ZIRCON	
RGM.150584	ZIRCON	
RGM.150648	ZIRCON	
RGM.150649	ZIRCON	
RGM.150650	CHRYSOBERYL	
RGM.150695	MOLDAVITE	
RGM.150702	OLIVINE	
RGM.150709	OLIVINE	
RGM.150714	OLIVINE	
RGM.150735	RUBELLITE	
RGM.150736	VERDELITE	
RGM.150739	TOURMALINE	
RGM.150757	OLIVINE	
RGM.150759	CORUNDUM	
RGM.150760	CORUNDUM	
RGM.150763	CORUNDUM	
RGM.150764	SPINEL	
RGM.150765	SPINEL	
RGM.150767	CHRYSOBERYL	
RGM.150768	CHRYSOBERYL, ALEXANDRITE	
RGM.150769	CHRYSOBERYL, ALEXANDRITE	
RGM.150773	TOURMALINE	
RGM.150775	DIAMOND	
RGM.150776	ALMANDINE PYROPE	
RGM.150777	DEMANTOID	
RGM.150779	ALMANDINE	
RGM.150780	ALMANDINE	
RGM.150781	PYROPE	
RGM.150782	ALMANDINE	
RGM.150784	HESSONITE	
RGM.150785	DEMANTOID	
RGM.150793	ROSE QUARTZ	
RGM.150795	ROCK CRYSTAL	
RGM.150796	CITRINE	
RGM.150798	CITRINE	
RGM.150801	AMETHYST	
RGM.150819	SINHALITE	
RGM.150824	APATITE	
RGM.150835	SPHALERITE	
RGM.150845	CHRYSOBERYL	
RGM.150846	CHRYSOBERYL	
RGM.150847	CHRYSOBERYL, ALEXANDRITE	
RGM.150849	CHRYSOBERYL, CAT'S EYE	
RGM.150851	CHRYSOBERYL, CAT'S EYE	
RGM.150854	CHRYSOBERYL, CAT'S EYE	
RGM.150855	CHRYSOBERYL, CAT'S EYE	
RGM.150856	CHRYSOBERYL, CAT'S EYE	
RGM.150858	STAR RUBY	
RGM.150879	CORUNDUM	
RGM.150881	ZIRCON	
RGM.150898	SPINEL	
RGM.151086	ROCK CRYSTAL	
RGM.151130	CITRINE	
RGM.151154	AMETHYST	
RGM.151182	CHALCEDONY, CHRYSOPRASE	
RGM.151183	CHALCEDONY, CHRYSOPRASE	
RGM.151190	CARNELIAN	
RGM.151199	CARNELIAN	
RGM.151207	CHALCEDONY 'SAPPHIRINE'	
RGM.151218	ANDALUSITE	
RGM.151219	KYANITE	
RGM.151221	APATITE	
RGM.151222	SINHALITE	
RGM.151224	FIRE OPAL	
RGM.151227	MOONSTONE	
RGM.151229	JADEITE	
RGM.151230	JADEITE	
RGM.151231	JADEITE	
RGM.151232	JADEITE	
RGM.151233	JADEITE	
RGM.151234	JADEITE	
RGM.151235	JADEITE	
RGM.151236	NEPHRITE	
RGM.151239	NEPHRITE	
RGM.151243	CHLOROMELANITE	
RGM.151244	RHODOCHROSITE	
RGM.151245	RHODOCHROSITE	
RGM.151248	TOPAZ	
RGM.151249	TOURMALINE	
RGM.151250	TOURMALINE	
RGM.151252	APATITE	
RGM.151256	Spherocobaltite	
RGM.151257	PYROPE/ ALMANDINE, RHODOLITE	
RGM.151263	CORUNDUM, PADARADSCHA	
RGM.151265	TOURMALINE	
RGM.151271	CASSITERITE	
RGM.151273	ANDALUSITE	
RGM.151282	ROCK CRYSTAL, FALCON'S EYE	
RGM.151283	ROCK CRYSTAL, TIGER'S EYE	
RGM.151298	IRIS QUARTZ	
RGM.151316	HELIOTROPE	
RGM.151323	SARDONYX	
RGM.151324	SARDONYX	
RGM.151329	SARDONYX	
RGM.151335	MOSS AGATE	
RGM.151342	MALACHITE	
RGM.151343	MALACHITE	
RGM.151346	LAZURITE (LAPIS LAZULI)	
RGM.151347	LAZURITE (LAPIS LAZULI)	
RGM.151348	LAZURITE (LAPIS LAZULI)	
RGM.151357	LABRADORITE	
RGM.151362	AMAZONITE	
RGM.151363	AMAZONITE	
RGM.151364	AMAZONITE	
RGM.151368	RHODONITE	
RGM.151463	AGATE	
RGM.151466	AVENTURINE	
RGM.151468	MOSS AGATE	
RGM.151533	SAPPHIRE	
RGM.151723	LABRADORITE	
RGM.151730	NEPHRITE, JADE	
RGM.151777	KUNZITE	
RGM.151779	STARDIOPSIDE	
RGM.151786	STAR QUARTZ	
RGM.151787	GROSSULAR 'TSAVORITE'	
RGM.151808	DIAMOND	
RGM.151809	DIAMOND	
RGM.151810	DIAMOND	
RGM.151813	DIAMOND	
RGM.151833	DIAMOND	
RGM.151848	CHAROITE	
RGM.151849	CHAROITE	
RGM.151850	CHAROITE	
RGM.151852	DIAMOND	
RGM.151854	TITANITE	
RGM.151855	TITANITE	
RGM.151856	TITANITE	
RGM.151859	DIAMOND	
RGM.151866	STAR CORUNDUM	
RGM.151872	SMOKY QUARTZ	
RGM.151879	SPINEL	
RGM.151880	MOONSTONE	
RGM.151881	APATITE	
RGM.151883	APATITE "CAT'S EYE"	
RGM.152005	SPINEL	
RGM.152025	KORNERUPINE	
RGM.152034	ENSTATITE	
RGM.152037	HESSONITE	
RGM.152064	TOPAZ	
RGM.152067	GROSSULAR 'TSAVORITE'	
RGM.152070	AMETRINE	
RGM.152071	AMETRINE	
RGM.152072	ROSE QUARTZ	
RGM.152073	TOURMALINE	
RGM.152074	STAR SAPPHIRE	
RGM.152076	EMERALD	
RGM.152080	AGATE	
RGM.152081	ALBITE catseye	
RGM.152082	HYDROGROSSULAR	
RGM.152083	HYDROGROSSULAR	
RGM.152084	HYDROGROSSULAR	
RGM.152087	SPODUMENE	
RGM.152088	FIRE AGATE	
RGM.152089	ZIRCON	
RGM.162655	HEMATITE	http://medialib.naturalis.nl/file/id/RGM.162655/format/large
RGM.162655	HEMATITE	http://medialib.naturalis.nl/file/id/RGM.162655_2/format/large
RGM.163459	NATIVE COPPER	http://medialib.naturalis.nl/file/id/RGM.163459/format/large
RGM.163596	CITRINE	
RGM.163616	Toermalijngroep (moorkoppen)	http://medialib.naturalis.nl/file/id/RGM.163616_4/format/large
RGM.163616	Toermalijngroep (moorkoppen)	http://medialib.naturalis.nl/file/id/RGM.163616_2/format/large
RGM.163616	Toermalijngroep (moorkoppen)	http://medialib.naturalis.nl/file/id/RGM.163616/format/large
RGM.163616	Toermalijngroep (moorkoppen)	http://medialib.naturalis.nl/file/id/RGM.163616_5/format/large
RGM.163630	OPAL	http://medialib.naturalis.nl/file/id/RGM.163630_3/format/large
RGM.163630	OPAL	http://medialib.naturalis.nl/file/id/RGM.163630/format/large
RGM.163630	OPAL	http://medialib.naturalis.nl/file/id/RGM.163630_5/format/large
RGM.163630	OPAL	http://medialib.naturalis.nl/file/id/RGM.163630_2/format/large
RGM.163630	OPAL	http://medialib.naturalis.nl/file/id/RGM.163630_4/format/large
RGM.163630	OPAL	http://medialib.naturalis.nl/file/id/RGM.163630_7/format/large
RGM.163634	ALMANDINE	
RGM.163640	ARAGONITE	http://medialib.naturalis.nl/file/id/RGM.163640_2/format/large
RGM.163640	ARAGONITE	http://medialib.naturalis.nl/file/id/RGM.163640_3/format/large
RGM.163640	ARAGONITE	http://medialib.naturalis.nl/file/id/RGM.163640/format/large
RGM.164426	MARMATITE	
RGM.164701	GALENA	http://medialib.naturalis.nl/file/id/RGM.164701/format/large
RGM.164701	GALENA	http://medialib.naturalis.nl/file/id/RGM.164701_2/format/large
RGM.164745	PYRITE	http://medialib.naturalis.nl/file/id/RGM.164745_2/format/large
RGM.164745	PYRITE	http://medialib.naturalis.nl/file/id/RGM.164745/format/large
RGM.164745	PYRITE	http://medialib.naturalis.nl/file/id/RGM.164745_3/format/large
RGM.164757	ELBAITE	
RGM.164800	RHODONITE	
RGM.164807	AGATE (SLICE)	
RGM.164808	AGATE (SLICE)	
RGM.164809	ROCK CRYSTAL	http://medialib.naturalis.nl/file/id/RGM.164809_3/format/large
RGM.164809	ROCK CRYSTAL	http://medialib.naturalis.nl/file/id/RGM.164809_2/format/large
RGM.164809	ROCK CRYSTAL	http://medialib.naturalis.nl/file/id/RGM.164809/format/large
RGM.164819	AMETHYST	http://medialib.naturalis.nl/file/id/RGM.164819/format/large
RGM.164855	TOURMALINE 'WATERMELOEN'	http://medialib.naturalis.nl/file/id/RGM.164855/format/large
RGM.164855	TOURMALINE 'WATERMELOEN'	http://medialib.naturalis.nl/file/id/RGM.164855_3/format/large
RGM.164855	TOURMALINE 'WATERMELOEN'	http://medialib.naturalis.nl/file/id/RGM.164855_2/format/large
RGM.164857	TOPAZ	
RGM.164861	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.164861/format/large
RGM.164861	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.164861_2/format/large
RGM.164861	MALACHITE	http://medialib.naturalis.nl/file/id/RGM.164861_3/format/large
RGM.164985	AQUAMARINE	http://medialib.naturalis.nl/file/id/RGM.164985/format/large
RGM.164985	AQUAMARINE	http://medialib.naturalis.nl/file/id/RGM.164985_2/format/large
RGM.22570	GRAPHITE	http://medialib.naturalis.nl/file/id/RGM.22570/format/large
RGM.22570	GRAPHITE	http://medialib.naturalis.nl/file/id/RGM.22570_2/format/large
RGM.22570	GRAPHITE	http://medialib.naturalis.nl/file/id/RGM.22570_3/format/large
RGM.23059		
RGM.24299	PYROPE IN GNEISS	
RGM.2526	Carneool	
RGM.25712	CITRINE	
RGM.29088	CALCITE	
RGM.381679	OKENITE GEODE	
RGM.411391	ZIRCON	
RGM.411486	FLUORITE	
RGM.411744	ROCK CRYSTAL	http://medialib.naturalis.nl/file/id/RGM.411744/format/large
RGM.411744	ROCK CRYSTAL	http://medialib.naturalis.nl/file/id/RGM.411744_2/format/large
RGM.411845	AMETHYST	http://medialib.naturalis.nl/file/id/RGM.411845_5/format/large
RGM.411845	AMETHYST	http://medialib.naturalis.nl/file/id/RGM.411845_4/format/large
RGM.411846	PREHNITE	
RGM.412402	MALACHITE/CHRYSOCOLLA	http://medialib.naturalis.nl/file/id/RGM.412402/format/large
RGM.412789	BARITE, CERUSSITE	http://medialib.naturalis.nl/file/id/RGM.412789_4/format/large
RGM.412789	BARITE, CERUSSITE	http://medialib.naturalis.nl/file/id/RGM.412789_3/format/large
RGM.412789	BARITE, CERUSSITE	http://medialib.naturalis.nl/file/id/RGM.412789_2/format/large
RGM.412789	BARITE, CERUSSITE	http://medialib.naturalis.nl/file/id/RGM.412789/format/large
RGM.412789	BARITE, CERUSSITE	http://medialib.naturalis.nl/file/id/RGM.412789_5/format/large
RGM.412789	BARITE, CERUSSITE	http://medialib.naturalis.nl/file/id/RGM.412789_6/format/large
RGM.412973	SMOKY QUARTZ	
RGM.416480	EMERALD IN BI.SCHIST	http://medialib.naturalis.nl/file/id/RGM.416480_2/format/large
RGM.416480	EMERALD IN BI.SCHIST	http://medialib.naturalis.nl/file/id/RGM.416480/format/large
RGM.416480	EMERALD IN BI.SCHIST	http://medialib.naturalis.nl/file/id/RGM.416480_4/format/large
RGM.416634	ROCK CRYSTAL	
RGM.416793	AGATE	
RGM.416798	Quartz	
RGM.416883	SILICIEOUS CALCITE	
RGM.416929	CERUSSITE	
RGM.416932	CALCITE	
RGM.416933	CALCITE	
RGM.416934	CALCITE	
RGM.419279		http://medialib.naturalis.nl/file/id/RGM.419279/format/large
RGM.419600	'GOODLETITE'RUBY ROCK	
RGM.420093	TOURMALINE	
RGM.420098	SAPPHIRE	
RGM.420308	ZIRCON	
